Time,Speed,Altitude
0,0,0
0,0,0
0,No speed detected,0
0,No speed detected,0
0,No speed detected,0
0,0,0
0,No speed detected,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,No speed detected,0
1,No speed detected,0
1,No speed detected,0
1,No speed detected,0
1,No speed detected,0
1,No speed detected,0
1,2,0
2,2,0
2,2,0
2,No speed detected,0
2,No speed detected,0
2,No speed detected,0
2,No speed detected,0
3,5,0
3,9,0
3,14,0
3,16,0
3,20,0
3,23,0
4,26,0
4,29,0
1,32,0
1,34,0
1,37,0
4,39,0
5,42,0
5,45,0
5,48,0
5,51,0
5,53,0
5,56,0
6,60,0
6,62,0
6,65,0
6,68,0
6,72,0
6,75,0
7,78,0
7,No speed detected,0
7,33,0
7,36,0
